row_id,income
0,46.9
1,26.7
3,28.1
4,41.6
5,34.3
6,23.2
7,59.7
14,32.9
15,25.7
16,19.3
17,18.7
18,26.5
19,23.2
22,26.5
23,26.6
25,21.8
26,22.7
27,30.4
28,33.3
29,39.4
31,36.4
32,40.2
33,17.4
35,29.8
36,25.0
37,22.9
38,31.7
40,18.1
41,17.5
46,18.6
48,43.2
50,23.6
53,28.1
55,19.4
56,17.9
57,42.4
59,45.4
60,29.5
66,45.1
67,27.0
69,20.1
72,35.1
73,88.3
74,20.1
75,28.8
76,50.5
77,34.4
78,25.8
79,33.8
80,39.8
81,19.9
82,38.9
84,49.8
85,35.6
86,31.6
88,21.3
89,64.7
90,62.4
92,43.4
94,68.4
95,34.9
96,19.1
97,36.9
98,26.5
99,21.5
101,19.5
103,14.3
109,27.4
110,34.5
112,27.0
115,38.6
117,24.3
119,16.5
120,28.7
123,33.1
124,19.8
126,21.0
127,15.5
128,41.7
129,29.3
130,16.3
131,38.9
132,36.5
133,57.1
135,63.1
136,32.8
138,23.5
140,26.5
141,24.8
142,25.8
143,25.0
144,26.2
145,33.9
146,19.3
147,19.1
150,29.5
152,38.3
153,18.0
154,25.9
155,29.7
158,21.4
159,20.2
161,50.2
162,42.9
164,34.2
165,40.1
166,27.6
169,35.3
170,46.6
171,26.1
172,19.6
173,33.9
176,38.8
177,24.9
178,26.2
179,32.7
181,23.0
182,34.6
183,29.3
185,18.9
186,30.3
187,27.2
188,28.1
191,36.7
192,29.5
193,99.2
195,30.3
197,27.3
198,34.6
199,25.6
200,19.7
202,21.5
203,46.0
204,19.1
205,35.2
207,24.5
209,18.5
210,18.9
211,43.0
212,20.6
213,22.7
216,19.7
217,19.7
218,24.9
219,43.7
220,32.0
223,30.2
224,14.8
225,23.7
226,28.8
227,29.3
228,44.2
229,20.9
230,35.0
231,27.8
233,24.4
234,36.5
235,15.7
236,19.2
237,21.3
238,44.8
242,16.7
243,17.1
244,70.1
245,26.9
246,44.0
250,34.2
253,26.5
255,30.2
256,43.5
257,41.3
258,36.1
259,32.2
264,28.0
265,24.8
266,18.8
268,21.8
269,43.8
270,49.9
273,39.0
279,25.9
280,36.6
282,29.1
284,18.2
285,38.3
287,23.2
288,27.3
289,18.4
291,24.3
292,17.0
294,21.5
295,41.4
296,20.0
297,32.1
299,24.5
300,38.8
301,44.9
302,25.6
303,15.8
304,34.4
305,41.8
307,63.3
308,39.9
309,39.8
312,70.7
313,30.4
314,15.6
315,26.5
317,25.3
318,14.9
319,31.2
322,36.6
323,44.2
326,35.6
328,33.9
329,21.7
330,26.7
331,33.6
332,22.3
333,25.9
335,19.5
336,27.6
337,22.7
338,19.6
339,36.4
343,35.8
344,24.8
346,23.6
350,31.8
352,23.8
353,23.3
354,27.5
356,41.9
357,20.0
358,32.1
359,18.1
360,37.3
361,35.3
362,22.2
363,50.8
364,22.8
365,37.7
367,23.1
371,19.8
372,32.0
374,33.4
377,26.9
378,33.4
380,17.1
381,16.5
382,41.8
383,26.7
385,33.2
386,26.2
387,78.3
389,31.2
391,20.0
392,59.1
393,42.5
395,23.4
396,27.4
397,18.1
398,33.9
399,18.7
400,27.5
401,20.2
402,30.5
403,36.2
404,27.4
405,24.3
408,23.8
409,18.2
410,15.3
411,48.2
413,17.1
415,20.2
417,25.4
419,42.5
420,31.9
421,31.5
422,61.0
423,33.3
427,34.9
428,32.4
429,25.8
430,51.3
431,13.7
433,46.0
436,18.1
438,19.4
439,50.2
440,48.7
441,38.5
442,22.2
443,17.6
444,46.2
445,42.2
448,51.3
449,26.6
450,35.4
451,17.3
452,28.2
453,36.0
455,25.4
456,24.4
457,29.1
458,42.1
460,28.6
461,26.9
462,35.4
467,30.4
468,20.3
469,23.1
473,22.5
474,32.6
475,21.9
476,35.3
477,31.7
478,37.9
480,41.8
481,56.7
482,22.1
484,14.6
485,40.9
486,57.0
487,22.5
490,56.0
491,27.8
492,21.0
493,19.3
494,32.0
495,19.3
496,19.7
497,16.4
500,19.3
503,23.7
505,27.2
508,28.9
509,34.0
511,27.1
515,30.9
516,29.5
517,26.9
520,28.0
521,17.2
522,21.9
523,26.7
524,32.3
525,31.8
526,17.3
528,37.5
531,43.5
532,26.3
533,19.8
535,23.3
537,24.9
538,32.9
540,19.6
541,40.4
543,14.9
545,36.7
546,26.8
547,32.0
550,31.7
551,33.0
552,19.0
554,20.9
556,24.1
557,29.4
559,41.7
560,38.3
561,27.6
562,39.0
563,29.9
564,28.1
565,28.6
568,17.0
569,29.2
571,40.9
572,39.9
573,23.3
575,22.2
577,22.0
580,32.3
581,40.3
583,20.8
584,24.8
587,39.0
588,10.6
589,29.8
590,24.8
591,34.4
595,16.7
596,37.9
597,21.4
598,50.6
599,47.0
600,23.0
601,26.2
602,22.4
603,28.1
604,41.8
605,19.0
607,19.3
610,35.6
615,16.4
616,25.3
618,18.6
619,27.4
620,25.6
623,35.0
628,35.9
629,27.7
631,25.7
632,35.6
633,38.5
635,26.9
636,35.8
638,22.8
643,23.9
645,26.4
646,76.5
647,18.1
648,20.1
651,26.4
652,43.2
655,23.6
657,35.7
658,25.4
661,60.2
662,17.6
663,29.5
665,27.0
666,36.1
668,17.1
669,17.0
671,33.8
674,39.8
676,28.5
677,19.2
679,28.9
680,29.4
682,25.8
687,24.8
689,20.8
691,17.1
692,26.2
693,28.2
695,32.7
696,20.0
697,17.4
698,34.3
699,21.2
700,21.0
701,27.9
702,43.1
703,24.0
704,19.1
705,93.2
706,23.5
707,25.8
709,30.5
710,28.7
711,43.7
713,19.1
714,28.2
716,43.7
720,52.4
721,29.4
723,30.5
724,33.6
725,24.7
726,21.8
727,49.9
729,56.6
730,36.8
731,21.6
732,50.9
735,40.0
736,21.7
737,29.9
740,21.9
742,41.4
743,14.7
745,27.2
746,22.5
747,56.4
751,35.0
753,29.1
755,20.9
756,18.5
758,50.9
759,21.1
761,79.9
762,26.6
763,41.2
764,30.5
765,42.2
767,102.5
768,24.2
770,25.4
772,22.2
775,21.2
776,31.8
777,29.8
778,22.7
779,35.9
780,28.5
781,26.7
783,40.9
784,53.2
787,44.0
789,20.6
790,86.4
791,44.6
792,24.9
793,40.6
795,18.6
797,39.3
799,11.3
801,47.9
803,24.2
804,27.0
805,23.5
806,19.8
807,26.1
810,16.7
811,14.8
813,33.6
814,15.7
816,20.3
817,34.5
818,21.0
819,40.6
820,22.1
821,26.3
823,34.3
824,25.9
825,20.0
826,15.4
827,35.0
828,28.5
829,21.2
831,20.5
832,39.6
833,27.3
835,21.6
836,60.1
837,34.8
839,31.0
840,57.2
841,31.2
846,31.8
847,20.2
848,23.2
850,14.8
851,25.0
852,36.1
854,39.5
855,37.4
858,42.6
859,19.3
860,41.2
861,20.9
864,29.8
865,11.2
866,26.9
868,33.3
870,29.9
871,24.4
872,33.5
874,26.1
875,20.6
876,34.5
879,28.7
880,41.0
884,39.3
886,21.4
887,37.8
888,30.2
891,32.4
892,29.8
894,20.5
897,41.4
899,36.8
902,21.8
903,21.4
904,32.2
905,18.4
907,29.1
908,23.9
910,42.0
912,34.1
917,17.6
918,30.4
919,50.6
920,31.2
921,60.0
922,28.1
924,22.6
925,49.1
926,33.0
928,18.9
930,77.1
932,27.1
933,28.9
936,30.8
939,28.1
940,16.3
941,36.3
943,24.8
944,23.3
946,34.4
948,65.2
950,31.9
952,26.4
953,31.2
960,30.2
961,18.9
962,28.2
964,28.8
971,51.7
972,43.4
973,30.6
975,30.1
977,24.3
978,23.2
979,46.3
981,27.4
982,14.2
983,23.8
984,36.7
985,35.1
987,16.8
993,34.2
995,14.4
997,30.3
998,18.3
999,21.8
1001,35.9
1002,27.7
1003,19.1
1005,23.5
1006,17.1
1007,39.6
1009,30.9
1010,24.8
1013,30.3
1014,23.3
1015,17.4
1016,34.8
1017,25.0
1019,49.5
1021,28.1
1022,52.4
1027,29.0
1028,29.2
1030,34.3
1032,18.3
1033,19.3
1035,17.2
1036,38.4
1037,34.0
1038,40.1
1039,33.9
1040,39.5
1041,19.6
1045,34.6
1046,27.7
1047,15.0
1048,34.0
1049,20.8
1050,23.3
1051,35.1
1052,23.0
1054,19.9
1055,23.0
1056,17.9
1059,18.2
1061,32.6
1062,42.5
1063,35.0
1065,27.7
1066,20.4
1067,27.8
1068,41.6
1069,26.0
1071,33.5
1074,52.9
1075,33.8
1079,23.7
1081,41.8
1082,51.3
1083,45.9
1085,27.6
1087,22.5
1089,17.3
1092,28.8
1093,22.5
1095,31.1
1096,41.3
1097,25.5
1101,16.7
1102,35.2
1103,12.3
1104,30.2
1107,19.8
1108,50.3
1110,27.5
1111,21.8
1112,27.3
1113,21.7
1114,23.0
1115,31.7
1116,21.6
1118,19.0
1121,32.8
1122,50.2
1123,35.8
1126,30.7
1129,34.9
1130,19.7
1131,40.4
1132,30.1
1134,25.9
1135,18.4
1137,19.6
1140,29.7
1141,28.9
1143,49.4
